check_name,status,details
21_service_request_types_table,GAP,No normalized service request category table exists.
22_menu_categories_table,READY,"[{""udt"": ""uuid"", ""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""hotel_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""name"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""timestamptz"", ""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""YES""}]"
23_menu_item_integrity,READY,Items=10; available=10; blank names=0; negative prices=0; distinct text categories=1.
24_existing_menu_category_values,INFO,"[""Meal""]"
25_existing_request_type_values,INFO,"[""Checkout Request"", ""Housekeeping"", ""Towel"", ""Water""]"
26_service_request_integrity,READY,Requests=32; distinct request types=4; blank request types=0.
27_status_values,INFO,"{""rooms"": [""available"", ""occupied""], ""service_requests"": [""completed""]}"
28_target_table_rls_inventory,READY,"[{""rls"": false, ""table"": ""amenities"", ""exists"": false}, {""rls"": true, ""table"": ""floors"", ""exists"": true}, {""rls"": true, ""table"": ""hotel_onboarding"", ""exists"": true}, {""rls"": true, ""table"": ""hotel_settings"", ""exists"": true}, {""rls"": true, ""table"": ""invoice_number_sequences"", ""exists"": true}, {""rls"": true, ""table"": ""menu_categories"", ""exists"": true}, {""rls"": true, ""table"": ""menu_items"", ""exists"": true}, {""rls"": true, ""table"": ""rate_plans"", ""exists"": true}, {""rls"": true, ""table"": ""room_types"", ""exists"": true}, {""rls"": true, ""table"": ""rooms"", ""exists"": true}, {""rls"": false, ""table"": ""service_request_types"", ""exists"": false}, {""rls"": true, ""table"": ""service_requests"", ""exists"": true}]"
29_target_policy_inventory,INFO,"[{""table"": ""amenities"", ""delete"": 0, ""insert"": 0, ""select"": 0, ""update"": 0, ""policies"": 0}, {""table"": ""floors"", ""delete"": 1, ""insert"": 1, ""select"": 1, ""update"": 1, ""policies"": 4}, {""table"": ""hotel_onboarding"", ""delete"": 1, ""insert"": 1, ""select"": 1, ""update"": 1, ""policies"": 4}, {""table"": ""hotel_settings"", ""delete"": 1, ""insert"": 1, ""select"": 1, ""update"": 1, ""policies"": 4}, {""table"": ""invoice_number_sequences"", ""delete"": 1, ""insert"": 1, ""select"": 1, ""update"": 1, ""policies"": 4}, {""table"": ""menu_categories"", ""delete"": 1, ""insert"": 1, ""select"": 2, ""update"": 1, ""policies"": 2}, {""table"": ""menu_items"", ""delete"": 1, ""insert"": 1, ""select"": 2, ""update"": 1, ""policies"": 2}, {""table"": ""rate_plans"", ""delete"": 1, ""insert"": 1, ""select"": 1, ""update"": 1, ""policies"": 4}, {""table"": ""room_types"", ""delete"": 1, ""insert"": 1, ""select"": 1, ""update"": 1, ""policies"": 4}, {""table"": ""rooms"", ""delete"": 1, ""insert"": 1, ""select"": 1, ""update"": 1, ""policies"": 4}, {""table"": ""service_request_types"", ""delete"": 0, ""insert"": 0, ""select"": 0, ""update"": 0, ""policies"": 0}, {""table"": ""service_requests"", ""delete"": 1, ""insert"": 1, ""select"": 2, ""update"": 1, ""policies"": 2}]"
30_configuration_package_summary,INFO,"Use this exact contract to build Migration 019: inventory configuration, bulk import, normalized amenities/request categories/menu categories, defaults and readiness integration."
